4988 330920 327279 1454 1263
7202 424836 199795 1532 1017
5191 341092 317151 1462 1258
8692 472946 98905 1556 617
8482 460830 107789 1541 549
3114 200189 454910 555 2115
2469 163070 482291 507 2124
7037 365853 228274 653 1553
3289 209380 446601 579 2084
5724 268692 262413 522 1114
1290 97999 455866 657 1122
6737 412466 225633 1490 950
5092 336647 314314 1430 1053
7667 447395 167562 1516 783
9352 496224 47891 1524 266
7073 406954 213133 1194 1211
2884 203188 428267 940 1554
5917 361780 283559 1178 1360
1507 112098 474877 633 1575
9318 470999 52678 1211 358
2839 204922 417399 1111 1346
4964 326656 326633 1362 1268
6657 402641 233318 1429 1099
3955 271649 372526 1275 1312
9182 482321 60498 1464 349
7265 405048 202069 1071 1190
4671 299410 355831 1003 1591
3168 217017 423738 892 1641
5201 324564 327985 1030 1544
6917 364633 196454 1013 815
4610 293741 358508 985 1590
8659 443806 103673 1068 726
4118 271959 385926 970 1641
3955 259744 390011 957 1635
9352 459852 50419 1068 363
8653 457615 103385 1356 716
6332 381546 259416 1323 1347
2401 173815 444785 952 1613
6657 394027 239397 1327 1298
6184 332772 225442 1155 872
8319 456726 124340 1329 679
6349 387726 252340 1305 1089
4802 315877 335191 1240 1206
3955 268946 372960 1173 1234
8841 469248 84662 1325 452
2075 148501 471911 738 1886
1420 104042 492952 589 1896
2271 161617 465427 797 1881
4889 307739 349749 1041 1750
6267 325210 229420 975 952
6907 433023 211532 1846 904
6611 422321 230430 1843 955
7202 444456 193465 1848 858
1400 110659 439868 847 1120
6733 391396 187305 1695 564
6461 395150 243864 1434 1061
3514 248476 391890 1254 1270
1549 116180 456094 734 1293
7927 448594 150708 1464 816
7792 432498 148112 1450 618
3289 230896 399458 1070 1242
2022 149136 444398 834 1264
2582 186083 425345 948 1256
2601 187877 425239 946 1253
9061 478247 69609 1299 400
3898 261433 387701 1038 1470
4770 306996 346064 1114 1430
7096 404304 210772 1173 1119
4985 318186 335754 1136 1413
7024 377311 190979 1134 739
3168 223816 404370 1074 1156
8579 465944 105398 1319 563
6611 399457 235711 1299 989
7927 445102 149756 1312 749
9085 478372 67226 1320 387
2284 158988 474731 647 1851
1994 139516 484259 599 1848
4663 288130 365973 853 1746
3318 220250 432593 790 1812
9281 440893 56936 904 439
6933 388319 225692 1000 1311
3514 235841 415114 881 1691
2839 195101 441874 822 1709
8653 439171 104544 1014 748
9103 448539 68912 1018 472
6332 362302 263623 876 1371
8150 421254 140775 894 912
4312 274069 377390 840 1575
4497 283112 367933 830 1583
7024 363879 196000 860 813
6409 382322 256714 1265 1365
8078 438484 145976 1284 955
1893 138369 464361 787 1614
7423 416750 189742 1277 1116
9213 466812 60804 1291 411
3920 267446 387786 1266 1574
6604 392834 244774 1416 1330
2452 176245 443385 981 1601
4275 284203 369043 1277 1545
8644 452562 100502 1436 607
7096 406351 211551 1218 1187
7265 412343 200643 1227 1136
8150 439074 138874 1231 881
4747 306688 346788 1138 1484
9318 469717 52717 1236 357
1605 117313 471864 657 1469
8078 437653 144904 1199 884
3955 263276 382827 1065 1418
6611 388674 242625 1188 1204
7008 378904 193155 1142 764
5343 340544 310366 1208 1224
8267 451238 128660 1252 724
